newID,Year,Age,Sex,food_production,household,childcare,play,offset,doubled,Society
BaYaka_1,2017,17,1,36,58,11,57,240,1,BaYaka
BaYaka_1,2018,18,1,62,47,0,109,240,101,BaYaka
BaYaka_2,2017,13,1,86,2,0,95,240,0,BaYaka
BaYaka_2,2018,14,1,9,49,9,109,236,6,BaYaka
BaYaka_3,2017,8,0,41,21,0,62,240,0,BaYaka
BaYaka_3,2018,9,0,0,36,18,163,240,21,BaYaka
BaYaka_4,2017,3,0,4,3,1,107,240,0,BaYaka
BaYaka_4,2018,4,0,3,22,4,114,239,0,BaYaka
BaYaka_5,2017,8,1,0,32,8,46,240,1,BaYaka
BaYaka_5,2018,9,1,4,0,0,134,240,0,BaYaka
BaYaka_6,2017,3,1,0,7,2,71,240,0,BaYaka
BaYaka_6,2018,4,1,0,8,0,113,240,1,BaYaka
BaYaka_7,2018,15,0,32,13,84,19,239,6,BaYaka
BaYaka_8,2017,5,1,10,1,0,52,240,0,BaYaka
BaYaka_9,2017,12,0,5,93,0,59,240,0,BaYaka
BaYaka_10,2018,10,1,30,3,7,135,238,0,BaYaka
BaYaka_11,2018,7,0,0,15,8,80,238,0,BaYaka
BaYaka_12,2018,17,1,0,44,0,113,240,40,BaYaka
BaYaka_13,2018,17,0,0,134,23,17,240,1,BaYaka
BaYaka_14,2017,7,1,0,9,0,105,240,0,BaYaka
BaYaka_15,2018,13,1,50,2,3,31,240,0,BaYaka
BaYaka_16,2017,10,0,28,48,1,58,240,0,BaYaka
BaYaka_17,2018,17,0,86,15,0,2,241,0,BaYaka
BaYaka_18,2018,13,1,67,6,0,54,240,0,BaYaka
BaYaka_19,2017,12,1,10,4,0,7,198,0,BaYaka
BaYaka_20,2017,14,1,71,36,0,12,240,0,BaYaka
BaYaka_21,2017,10,0,8,39,1,56,240,0,BaYaka
BaYaka_22,2018,5,0,0,18,0,66,240,0,BaYaka
BaYaka_23,2018,8,1,40,0,4,101,237,0,BaYaka
BaYaka_24,2017,11,0,62,47,9,26,240,0,BaYaka
BaYaka_25,2018,14,1,64,32,1,52,238,0,BaYaka
BaYaka_26,2017,4,1,14,8,1,78,221,3,BaYaka
BaYaka_27,2017,12,1,59,42,0,11,235,0,BaYaka
BaYaka_28,2017,16,0,123,0,5,0,196,0,BaYaka
BaYaka_29,2017,14,0,62,2,5,42,240,0,BaYaka
BaYaka_30,2017,8,0,23,7,4,30,240,0,BaYaka
BaYaka_31,2017,14,1,50,26,0,81,240,1,BaYaka
BaYaka_32,2017,6,1,14,2,3,80,239,0,BaYaka
BaYaka_33,2017,18,0,82,38,0,6,240,0,BaYaka
BaYaka_34,2017,13,1,32,12,2,74,240,0,BaYaka
BaYaka_35,2017,8,1,1,14,9,76,226,0,BaYaka
BaYaka_36,2017,7,1,0,0,0,24,60,0,BaYaka
BaYaka_37,2017,8,1,2,1,3,47,180,0,BaYaka
BaYaka_38,2017,12,0,23,84,16,9,240,0,BaYaka
BaYaka_39,2017,11,0,0,68,1,116,240,0,BaYaka
BaYaka_40,2017,14,1,76,12,0,16,203,0,BaYaka
BaYaka_41,2017,5,0,3,16,1,108,240,1,BaYaka
BaYaka_42,2017,16,0,131,21,0,8,240,0,BaYaka
BaYaka_43,2017,8,1,2,16,0,140,235,9,BaYaka
BaYaka_44,2017,8,1,8,3,0,32,157,0,BaYaka
BaYaka_45,2017,17,1,1,25,0,30,240,0,BaYaka
BaYaka_46,2017,17,1,49,0,0,40,239,0,BaYaka
BaYaka_47,2017,8,1,1,6,0,123,229,0,BaYaka
BaYaka_48,2017,9,1,0,6,0,60,239,0,BaYaka
BaYaka_49,2017,14,0,114,45,0,13,240,0,BaYaka
BaYaka_50,2018,7,1,16,2,0,50,240,0,BaYaka
BaYaka_51,2018,17,0,6,4,0,0,55,0,BaYaka
BaYaka_52,2018,13,1,34,9,3,39,239,0,BaYaka
BaYaka_53,2018,8,0,11,26,29,29,238,0,BaYaka