newID,food_production,household,childcare,play,offset,Sex,Age,doubled,Society,Year
Matsigenka_Camana_02FT1,0,0,0,0,16,0,5,NA,Matsigenka,1979
Matsigenka_Camana_02FY1,2,2,0,0,15,0,12,NA,Matsigenka,1979
Matsigenka_Camana_02FY2,1,4,0,1,15,0,11,NA,Matsigenka,1979
Matsigenka_Camana_02MM1,5,1,0,2,15,1,15,NA,Matsigenka,1979
Matsigenka_Camana_02MY1,4,1,0,2,15,1,7,NA,Matsigenka,1979
Matsigenka_Camana_03FY1,6,2,1,1,24,0,13,NA,Matsigenka,1979
Matsigenka_Camana_03FY2,2,0,0,1,25,0,12,NA,Matsigenka,1979
Matsigenka_Camana_03FY3,1,0,0,3,22,0,6,NA,Matsigenka,1979
Matsigenka_Camana_04FY1,2,0,0,2,17,0,6,NA,Matsigenka,1979
Matsigenka_Camana_04MY1,4,1,0,1,17,1,13,NA,Matsigenka,1979
Matsigenka_Camana_04MY2,5,0,0,0,17,1,10,NA,Matsigenka,1979
Matsigenka_Camana_05MY1,5,0,0,5,23,1,6,NA,Matsigenka,1979
Matsigenka_Camana_06FHD,3,5,0,0,21,0,17,NA,Matsigenka,1979
Matsigenka_Camana_06MHD,6,3,0,0,22,1,18,NA,Matsigenka,1979
Matsigenka_Camana_07FMN,0,1,1,0,16,0,14,NA,Matsigenka,1979
Matsigenka_Camana_07FT1,0,0,0,4,16,0,3.7,NA,Matsigenka,1979
Matsigenka_Camana_07FY1,0,1,0,1,16,0,6,NA,Matsigenka,1979
Matsigenka_Camana_07MY1,3,0,0,2,16,1,10,NA,Matsigenka,1979
Matsigenka_Camana_08MHD,3,0,0,3,17,1,16,NA,Matsigenka,1979
Matsigenka_Camana_09FY1,1,1,0,5,22,0,8,NA,Matsigenka,1979
Matsigenka_Camana_09MY1,6,3,0,4,21,1,12,NA,Matsigenka,1979
Matsigenka_Camana_09MY2,6,2,0,4,21,1,10,NA,Matsigenka,1979
Matsigenka_Camana_10FT1,0,1,0,1,15,0,6,NA,Matsigenka,1979
Matsigenka_Camana_10MM1,2,0,0,1,15,1,16,NA,Matsigenka,1979
Matsigenka_Camana_11FT1,0,0,0,3,17,0,4,NA,Matsigenka,1979
Matsigenka_Camana_11FT2,2,0,0,0,18,0,5,NA,Matsigenka,1979
Matsigenka_Camana_11FT3,2,0,0,1,17,0,4.2,NA,Matsigenka,1979
Matsigenka_Camana_11FY1,0,1,1,0,16,0,7,NA,Matsigenka,1979
Matsigenka_Camana_11MM2,11,0,0,1,17,1,17,NA,Matsigenka,1979
Matsigenka_Camana_11MY1,6,0,0,1,16,1,11,NA,Matsigenka,1979
Matsigenka_Camana_11MY2,2,0,0,1,16,1,6,NA,Matsigenka,1979
Matsigenka_Camana_11MY3,0,0,0,3,17,1,8,NA,Matsigenka,1979
Matsigenka_Camana_11MY4,3,0,0,3,17,1,8,NA,Matsigenka,1979
Matsigenka_Camana_13FY1,2,2,0,7,21,0,9,NA,Matsigenka,1979
Matsigenka_Camana_13MY1,8,2,0,5,21,1,11,NA,Matsigenka,1979
Matsigenka_Camana_13MY2,2,2,0,10,21,1,7,NA,Matsigenka,1979
Matsigenka_Camana_15FT1,0,0,0,6,22,0,5,NA,Matsigenka,1979
Matsigenka_Camana_17FHD,3,6,5,0,21,0,16,NA,Matsigenka,1979
Matsigenka_Camana_18FT1,1,1,0,6,22,0,4,NA,Matsigenka,1979
Matsigenka_Camana_18FY1,7,3,2,1,24,0,11,NA,Matsigenka,1979
Matsigenka_Camana_18MY1,9,2,0,2,23,1,13,NA,Matsigenka,1979
Matsigenka_Camana_18MY2,4,0,0,9,23,1,8,NA,Matsigenka,1979
Matsigenka_Camana_23FMN,1,1,3,1,18,0,14,NA,Matsigenka,1979
Matsigenka_Camana_23FT1,0,0,0,4,17,0,5,NA,Matsigenka,1979
Matsigenka_Camana_23FY1,1,2,1,3,17,0,8,NA,Matsigenka,1979
Matsigenka_Camana_24FT1,1,0,1,4,17,0,3.9,NA,Matsigenka,1979
Matsigenka_Camana_24MT1,1,0,0,5,17,1,5,NA,Matsigenka,1979
Matsigenka_Camana_25FT1,0,0,0,3,17,0,3.9,NA,Matsigenka,1979
Matsigenka_Camana_25FY1,0,2,1,2,19,0,10,NA,Matsigenka,1979
Matsigenka_Camana_25FY2,0,2,2,3,18,0,7,NA,Matsigenka,1979
Matsigenka_Camana_27MT1,0,0,0,6,24,1,3.9,NA,Matsigenka,1979
Matsigenka_Camana_28FMN,0,3,0,2,24,0,15,NA,Matsigenka,1979
Matsigenka_Camana_28FT1,2,2,1,5,25,0,5,NA,Matsigenka,1979
Matsigenka_Camana_28FT2,0,0,0,5,22,0,4.1,NA,Matsigenka,1979
Matsigenka_Camana_28FY1,0,1,1,3,22,0,12,NA,Matsigenka,1979
Matsigenka_Camana_28FY2,0,2,1,3,21,0,8,NA,Matsigenka,1979
Matsigenka_Camana_28FY3,1,3,0,1,23,0,13,NA,Matsigenka,1979
Matsigenka_Camana_28MHD,11,6,0,3,29,1,16,NA,Matsigenka,1979
Matsigenka_Camana_28MY1,5,2,0,6,22,1,10,NA,Matsigenka,1979
Matsigenka_Camana_28MY2,0,6,0,9,24,1,7,NA,Matsigenka,1979
Matsigenka_Camana_29FT1,0,0,0,3,17,0,3,NA,Matsigenka,1979
Matsigenka_Camana_29FY1,2,0,0,4,19,0,9,NA,Matsigenka,1979
Matsigenka_Camana_29MY1,0,4,0,3,18,1,14,NA,Matsigenka,1979
Matsigenka_Camana_29MY2,1,0,0,7,18,1,12,NA,Matsigenka,1979
Matsigenka_Camana_29MY3,0,0,0,7,18,1,7,NA,Matsigenka,1979
Matsigenka_Camana_30FT1,1,0,0,3,15,0,3.6,NA,Matsigenka,1979
Matsigenka_Camana_30FY1,1,1,1,2,15,0,7,NA,Matsigenka,1979
Matsigenka_Camana_31MHD,2,0,0,1,16,1,18,NA,Matsigenka,1979
Matsigenka_Camana_32MHD,3,0,0,1,15,1,15,NA,Matsigenka,1979
Matsigenka_Camana_33FHD,4,3,0,0,27,0,16,NA,Matsigenka,1979
Matsigenka_Camana_34FT1,1,0,0,3,19,0,5,NA,Matsigenka,1979
Matsigenka_Camana_34FY1,1,2,0,3,19,0,8,NA,Matsigenka,1979
Matsigenka_Camana_34MY1,4,2,0,4,19,1,14,NA,Matsigenka,1979
Matsigenka_Camana_34MY2,2,2,0,7,19,1,11,NA,Matsigenka,1979
Matsigenka_Camana_36FT1,0,1,0,4,15,0,4.3,NA,Matsigenka,1979
Matsigenka_Camana_36FY1,0,0,0,3,15,0,6,NA,Matsigenka,1979
Matsigenka_Camana_36MY1,2,0,0,4,18,1,12,NA,Matsigenka,1979
Matsigenka_Camana_36MY2,4,0,0,2,20,1,10,NA,Matsigenka,1979
Matsigenka_Camana_36MY3,1,0,0,5,16,1,9,NA,Matsigenka,1979
Matsigenka_Camana_38FHD,4,5,0,0,22,0,15,NA,Matsigenka,1979
Matsigenka_Camana_41FHD,0,6,3,0,21,0,14,NA,Matsigenka,1979