newID,Year,Sex,food_production,household,childcare,play,offset,Age,Society,doubled
Mikea_0,1996,0,12,8,1,3,47,12,Mikea,NA
Mikea_0,1997,0,17,7,0,1,52,12,Mikea,NA
Mikea_0,1998,0,45,27,2,22,200,12,Mikea,NA
Mikea_0,1999,0,14,27,0,3,96,20.5,Mikea,NA
Mikea_1,1997,0,23,7,1,2,52,12,Mikea,NA
Mikea_6,1996,1,10,5,2,4,47,12,Mikea,NA
Mikea_6,1998,1,69,14,0,35,200,12,Mikea,NA
Mikea_6,1999,1,32,1,0,9,48,12,Mikea,NA
Mikea_8,1997,1,10,0,0,27,52,12,Mikea,NA
Mikea_8,1998,1,8,6,0,45,104,12,Mikea,NA
Mikea_9,1998,0,13,4,0,1,42,12,Mikea,NA
Mikea_11,1996,1,19,3,1,0,47,12,Mikea,NA
Mikea_11,1997,1,31,2,0,0,52,20.5,Mikea,NA
Mikea_11,1998,1,112,6,0,11,209,20.5,Mikea,NA
Mikea_11,1999,1,3,0,0,1,48,20.5,Mikea,NA
Mikea_12,1998,0,0,0,0,16,42,6.5,Mikea,NA
Mikea_22,1997,1,8,1,0,27,52,12,Mikea,NA
Mikea_22,1998,1,9,6,0,36,104,12,Mikea,NA
Mikea_27,1999,0,4,4,0,45,96,6.5,Mikea,NA
Mikea_29,1996,1,9,1,0,10,47,6.5,Mikea,NA
Mikea_30,1996,0,1,0,0,12,47,6.5,Mikea,NA
Mikea_30,1997,0,19,2,0,14,52,6.5,Mikea,NA
Mikea_30,1998,0,4,4,0,74,200,6.5,Mikea,NA
Mikea_30,1999,0,7,5,0,36,96,12,Mikea,NA
Mikea_31,1997,1,38,3,0,1,52,12,Mikea,NA
Mikea_32,1997,1,34,8,0,2,52,12,Mikea,NA
Mikea_33,1998,1,0,0,0,1,1,12,Mikea,NA
Mikea_46,1998,0,19,3,0,3,42,12,Mikea,NA
Mikea_51,1997,0,11,3,0,16,52,12,Mikea,NA
Mikea_51,1998,0,19,11,2,27,104,12,Mikea,NA
Mikea_52,1998,0,3,5,0,31,97,12,Mikea,NA
Mikea_52,1999,0,14,19,1,22,96,12,Mikea,NA
Mikea_65,1997,1,6,1,0,23,52,6.5,Mikea,NA
Mikea_65,1998,1,26,7,0,43,152,6.5,Mikea,NA
Mikea_65,1998,1,0,0,0,0,9,12,Mikea,NA
Mikea_65,1999,1,28,2,0,26,96,6.5,Mikea,NA
Mikea_70,1998,0,4,2,0,8,42,12,Mikea,NA
Mikea_71,1998,1,35,1,1,32,96,6.5,Mikea,NA
Mikea_71,1999,1,26,0,0,12,48,6.5,Mikea,NA
Mikea_72,1997,0,7,1,0,16,52,6.5,Mikea,NA
Mikea_72,1998,0,31,5,0,32,161,6.5,Mikea,NA
Mikea_72,1999,0,26,3,0,25,96,12,Mikea,NA
Mikea_75,1999,0,10,13,0,35,96,12,Mikea,NA
Mikea_76,1996,1,16,6,0,2,47,12,Mikea,NA
Mikea_76,1998,1,43,8,0,17,104,12,Mikea,NA
Mikea_76,1998,1,38,8,0,16,96,20.5,Mikea,NA
Mikea_76,1999,1,32,3,0,9,48,20.5,Mikea,NA
Mikea_77,1996,1,15,3,0,0,47,12,Mikea,NA
Mikea_96,1998,0,2,3,0,43,96,6.5,Mikea,NA
Mikea_96,1999,0,7,3,0,44,96,6.5,Mikea,NA
Mikea_98,1998,0,48,38,1,6,169,20.5,Mikea,NA
Mikea_98,1999,0,0,0,0,0,1,20.5,Mikea,NA
Mikea_99,1998,0,39,12,3,59,199,12,Mikea,NA
Mikea_99,1999,0,28,7,0,8,48,12,Mikea,NA
Mikea_102,1997,1,14,4,0,0,52,20.5,Mikea,NA
Mikea_102,1998,1,27,1,0,3,55,20.5,Mikea,NA
Mikea_108,1996,1,8,4,0,9,47,12,Mikea,NA
Mikea_108,1998,1,9,3,0,2,31,12,Mikea,NA
Mikea_110,1996,1,11,3,0,0,47,12,Mikea,NA
Mikea_117,1998,1,0,0,0,15,42,6.5,Mikea,NA
Mikea_117,1999,1,0,0,0,0,1,6.5,Mikea,NA