newID,Sex,Age,food_production,household,play,childcare,offset,Year,doubled,Society
Pume_3,0,14.54,0,0,0,0,1,2007,NA,Pume
Pume_6,1,5,3,0,7,4,31,2007,NA,Pume
Pume_11,0,8,0,3,3,1,18,2007,NA,Pume
Pume_12,1,6,2,0,5,0,14,2007,NA,Pume
Pume_13,1,4,1,0,3,0,8,2007,NA,Pume
Pume_17,0,11,2,0,0,2,15,2007,NA,Pume
Pume_18,0,8,0,0,1,0,2,2007,NA,Pume
Pume_26,0,15.55,5,18,0,0,47,2007,NA,Pume
Pume_32,0,4,0,0,1,0,9,2007,NA,Pume
Pume_36,1,15.21,9,4,2,1,53,2007,NA,Pume
Pume_39,0,13.71,3,16,0,8,63,2007,NA,Pume
Pume_40,1,7,1,4,11,2,61,2007,NA,Pume
Pume_45,0,14.1,3,28,0,1,65,2007,NA,Pume
Pume_46,0,3,0,6,5,0,59,2007,NA,Pume
Pume_48,0,16.45,5,16,0,3,53,2007,NA,Pume
Pume_50,0,10,0,7,0,5,51,2007,NA,Pume
Pume_56,0,13.65,3,16,0,16,61,2007,NA,Pume
Pume_60,1,16.1,3,6,2,4,41,2007,NA,Pume
Pume_61,1,10,3,8,5,1,44,2007,NA,Pume
Pume_62,1,4,0,3,24,0,58,2007,NA,Pume
Pume_69,1,11,2,7,3,1,53,2007,NA,Pume
Pume_71,1,9,4,10,12,0,56,2007,NA,Pume
Pume_72,0,3,0,1,17,1,56,2007,NA,Pume
Pume_74,1,5,2,4,13,2,43,2007,NA,Pume
Pume_75,1,12,1,9,10,0,44,2007,NA,Pume
Pume_79,1,3,0,1,4,0,24,2007,NA,Pume
Pume_80,1,12,4,6,4,0,29,2007,NA,Pume
Pume_81,0,12,0,18,0,0,50,2007,NA,Pume
Pume_82,1,8,0,6,12,0,58,2007,NA,Pume
Pume_3,0,13.54,2,0,0,2,10,2006,NA,Pume
Pume_6,1,4,17,7,46,1,112,2006,NA,Pume
Pume_8,0,17.8,7,46,0,0,125,2006,NA,Pume
Pume_11,0,7,2,7,23,5,58,2006,NA,Pume
Pume_12,1,5,6,3,64,0,134,2006,NA,Pume
Pume_13,1,3,0,4,76,0,137,2006,NA,Pume
Pume_17,0,10,4,7,5,8,71,2006,NA,Pume
Pume_18,0,7,3,1,12,5,36,2006,NA,Pume
Pume_22,0,14.44,9,89,0,3,214,2006,NA,Pume
Pume_26,0,14.55,27,78,1,7,221,2006,NA,Pume
Pume_32,0,3,0,0,2,0,27,2006,NA,Pume
Pume_36,1,14.21,50,29,3,1,201,2006,NA,Pume
Pume_39,0,12.71,32,69,9,2,214,2006,NA,Pume
Pume_40,1,6,13,9,63,0,166,2006,NA,Pume
Pume_45,0,13.1,7,63,7,13,165,2006,NA,Pume
Pume_48,0,15.45,5,55,1,7,166,2006,NA,Pume
Pume_50,0,9,10,44,26,20,207,2006,NA,Pume
Pume_56,0,12.65,14,48,9,25,201,2006,NA,Pume
Pume_60,1,15.1,59,24,21,2,199,2006,NA,Pume
Pume_61,1,9,36,18,30,3,137,2006,NA,Pume
Pume_62,1,3,7,10,88,0,181,2006,NA,Pume
Pume_69,1,10,52,8,8,1,138,2006,NA,Pume
Pume_71,1,8,38,19,45,6,158,2006,NA,Pume
Pume_74,1,4,37,6,36,1,121,2006,NA,Pume
Pume_75,1,11,55,15,17,1,130,2006,NA,Pume
Pume_80,1,11,84,11,20,6,171,2006,NA,Pume
Pume_81,0,11,13,28,13,12,178,2006,NA,Pume
Pume_82,1,7,21,8,44,1,128,2006,NA,Pume